pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,215,0,0,0,264,264,99999,0,0,0,0.3,79.2,0.6,0.6
0,0,1,0,38,0,0,0,384,384,99999,0,0,1,0.275,105.6,0.4,0.4
0,0,2,0,125,0,0,0,48,48,99999,0,0,2,1.25,60.0,0.5,0.5
0,0,3,0,472,0,0,0,77,77,99999,0,0,3,0.2,15.4,0.6,0.6
0,0,4,0,110,0,0,0,280,280,99999,0,0,4,0.075,21.0,0.5,0.5
0,0,5,0,194,0,0,0,288,288,99999,0,0,5,0.229,65.952,0.5,0.5
0,0,6,0,418,0,0,0,27,27,99999,0,0,6,1.5,40.5,0.6,0.6
0,0,7,0,473,0,0,0,100,100,99999,0,0,7,0.1,10.0,0.6,0.6
0,0,8,0,4,0,0,0,6,6,99999,0,0,8,0.425,2.55,0.4,0.4
0,0,9,0,53,0,0,0,12,12,99999,0,0,9,0.335,4.02,0.5,0.5
1,0,0,0,21,0,0,0,432,432,99999,0,0,10,0.165,71.28,0.4,0.4
1,0,1,0,365,0,0,0,24,24,99999,0,0,11,0.388,9.312,0.6,0.6
1,0,2,0,120,0,0,0,240,240,99999,0,0,12,0.3,72.0,0.5,0.5
1,0,3,0,10,0,0,0,210,210,99999,0,0,13,0.118,24.78,0.4,0.4
1,0,4,0,85,0,0,0,24,24,99999,0,0,14,0.392,9.408,0.5,0.5
1,0,5,0,87,0,0,0,12,12,99999,0,0,15,5.165,61.98,0.5,0.5
1,0,6,0,196,0,0,0,27,27,99999,0,0,16,2.5,67.5,0.5,0.5
1,0,7,0,13,0,0,0,96,96,99999,0,0,17,0.596,57.216,0.4,0.4
1,0,8,0,153,0,0,0,42,42,99999,0,0,18,0.43,18.06,0.5,0.5
1,0,9,0,65,0,0,0,24,24,99999,0,0,19,0.49,11.76,0.5,0.5
2,0,0,0,96,0,0,0,96,96,99999,0,0,20,0.668,64.128,0.5,0.5
2,0,1,0,332,0,0,0,72,72,99999,0,0,21,0.233,16.776,0.6,0.6
2,0,2,0,55,0,0,0,72,72,99999,0,0,22,0.15,10.8,0.5,0.5
2,0,3,0,471,0,0,0,96,96,99999,0,0,23,0.52,49.92,0.6,0.6
2,0,4,0,72,0,0,0,120,120,99999,0,0,24,0.62,74.4,0.5,0.5
2,0,5,0,299,0,0,0,432,432,99999,0,0,25,0.161,69.552,0.6,0.6
2,0,6,0,80,0,0,0,32,32,99999,0,0,26,0.468,14.976,0.5,0.5
2,0,7,0,112,0,0,0,216,216,99999,0,0,27,0.375,81.0,0.5,0.5
2,0,8,0,4,0,0,0,6,6,99999,0,0,28,0.425,2.55,0.4,0.4
2,0,9,0,282,0,0,0,72,72,99999,0,0,29,0.144,10.368,0.6,0.6
3,0,0,0,175,0,0,0,24,24,99999,0,0,30,2.057,49.368,0.5,0.5
3,0,1,0,182,0,0,0,12,12,99999,0,0,31,0.408,4.896,0.5,0.5
3,0,2,0,4,0,0,0,6,6,99999,0,0,32,0.425,2.55,0.4,0.4
3,0,3,0,130,0,0,0,24,24,99999,0,0,33,0.615,14.76,0.5,0.5
3,0,4,0,24,0,0,0,20,20,99999,0,0,34,0.441,8.82,0.4,0.4
3,0,5,0,460,0,0,0,24,24,99999,0,0,35,0.248,5.952,0.6,0.6
3,0,6,0,216,0,0,0,20,20,99999,0,0,36,1.0,20.0,0.6,0.6
3,0,7,0,48,0,0,0,360,360,99999,0,0,37,0.275,99.0,0.4,0.4
3,0,8,0,184,0,0,0,192,192,99999,0,0,38,0.358,68.736,0.5,0.5
3,0,9,0,133,0,0,0,14,14,99999,0,0,39,0.439,6.146,0.5,0.5
4,0,0,0,282,0,0,0,72,72,99999,0,0,40,0.144,10.368,0.6,0.6
4,0,1,0,45,0,0,0,72,72,99999,0,0,41,0.125,9.0,0.4,0.4
4,0,2,0,381,0,0,0,8,8,99999,0,0,42,1.0,8.0,0.6,0.6
4,0,3,0,363,0,0,0,10,10,99999,0,0,43,6.4,64.0,0.6,0.6
4,0,4,0,0,0,0,0,36,36,99999,0,0,44,1.602,57.672,0.4,0.4
4,0,5,0,26,0,0,0,360,360,99999,0,0,45,0.274,98.64,0.4,0.4
4,0,6,0,125,0,0,0,48,48,99999,0,0,46,1.25,60.0,0.5,0.5
4,0,7,0,113,0,0,0,11,11,99999,0,0,47,6.02,66.22,0.5,0.5
4,0,8,0,74,0,0,0,288,288,99999,0,0,48,0.291,83.808,0.5,0.5
4,0,9,0,81,0,0,0,12,12,99999,0,0,49,0.248,2.976,0.5,0.5
5,0,0,0,369,0,0,0,192,192,99999,0,0,50,0.368,70.656,0.6,0.6
5,0,1,0,170,0,0,0,60,60,99999,0,0,51,0.59,35.4,0.5,0.5
5,0,2,0,15,0,0,0,12,12,99999,0,0,52,0.367,4.404,0.4,0.4
5,0,3,0,48,0,0,0,360,360,99999,0,0,53,0.275,99.0,0.4,0.4
5,0,4,0,422,0,0,0,48,48,99999,0,0,54,0.894,42.912,0.6,0.6
5,0,5,0,397,0,0,0,36,36,99999,0,0,55,0.273,9.828,0.6,0.6
5,0,6,0,159,0,0,0,336,336,99999,0,0,56,0.245,82.32,0.5,0.5
5,0,7,0,398,0,0,0,204,204,99999,0,0,57,0.333,67.932,0.6,0.6
5,0,8,0,216,0,0,0,20,20,99999,0,0,58,1.0,20.0,0.6,0.6
5,0,9,0,411,0,0,0,192,192,99999,0,0,59,0.368,70.656,0.6,0.6
6,0,0,0,398,0,0,0,204,204,99999,0,0,60,0.333,67.932,0.6,0.6
6,0,1,0,46,0,0,0,30,30,99999,0,0,61,0.373,11.19,0.4,0.4
6,0,2,0,124,0,0,0,12,12,99999,0,0,62,0.292,3.504,0.5,0.5
6,0,3,0,94,0,0,0,24,24,99999,0,0,63,2.087,50.088,0.5,0.5
6,0,4,0,121,0,0,0,3,3,99999,0,0,64,15.0,45.0,0.5,0.5
6,0,5,0,153,0,0,0,42,42,99999,0,0,65,0.43,18.06,0.5,0.5
6,0,6,0,481,0,0,0,210,210,99999,0,0,66,0.104,21.84,0.6,0.6
6,0,7,0,45,0,0,0,72,72,99999,0,0,67,0.125,9.0,0.4,0.4
6,0,8,0,424,0,0,0,96,96,99999,0,0,68,0.619,59.424,0.6,0.6
6,0,9,0,11,0,0,0,264,264,99999,0,0,69,0.282,74.448,0.4,0.4
7,0,0,0,115,0,0,0,192,192,99999,0,0,70,0.389,74.688,0.5,0.5
7,0,1,0,19,0,0,0,12,12,99999,0,0,71,0.28,3.36,0.4,0.4
7,0,2,0,175,0,0,0,24,24,99999,0,0,72,2.057,49.368,0.5,0.5
7,0,3,0,464,0,0,0,336,336,99999,0,0,73,0.259,87.024,0.6,0.6
7,0,4,0,33,0,0,0,240,240,99999,0,0,74,0.409,98.16,0.4,0.4
7,0,5,0,198,0,0,0,288,288,99999,0,0,75,0.07,20.16,0.5,0.5
7,0,6,0,256,0,0,0,24,24,99999,0,0,76,0.446,10.704,0.6,0.6
7,0,7,0,2,0,0,0,24,24,99999,0,0,77,0.405,9.72,0.4,0.4
7,0,8,0,389,0,0,0,48,48,99999,0,0,78,0.85,40.8,0.6,0.6
7,0,9,0,31,0,0,0,72,72,99999,0,0,79,0.125,9.0,0.4,0.4
8,0,0,0,3,0,0,0,312,312,99999,0,0,80,0.324,101.088,0.4,0.4
8,0,1,0,428,0,0,0,20,20,99999,0,0,81,0.13,2.6,0.6,0.6
8,0,2,0,217,0,0,0,72,72,99999,0,0,82,0.233,16.776,0.6,0.6
8,0,3,0,249,0,0,0,12,12,99999,0,0,83,5.442,65.304,0.6,0.6
8,0,4,0,9,0,0,0,180,180,99999,0,0,84,0.1,18.0,0.4,0.4
8,0,5,0,49,0,0,0,240,240,99999,0,0,85,0.408,97.92,0.4,0.4
8,0,6,0,67,0,0,0,12,12,99999,0,0,86,0.328,3.936,0.5,0.5
8,0,7,0,174,0,0,0,90,90,99999,0,0,87,0.13,11.7,0.5,0.5
8,0,8,0,45,0,0,0,72,72,99999,0,0,88,0.125,9.0,0.4,0.4
8,0,9,0,99,0,0,0,24,24,99999,0,0,89,2.228,53.472,0.5,0.5
9,0,0,0,48,0,0,0,360,360,99999,0,0,90,0.275,99.0,0.4,0.4
9,0,1,0,141,0,0,0,30,30,99999,0,0,91,0.454,13.62,0.5,0.5
9,0,2,0,451,0,0,0,72,72,99999,0,0,92,0.662,47.664,0.6,0.6
9,0,3,0,124,0,0,0,12,12,99999,0,0,93,0.292,3.504,0.5,0.5
9,0,4,0,132,0,0,0,264,264,99999,0,0,94,0.3,79.2,0.5,0.5
9,0,5,0,129,0,0,0,48,48,99999,0,0,95,0.25,12.0,0.5,0.5
9,0,6,0,468,0,0,0,210,210,99999,0,0,96,0.115,24.15,0.6,0.6
9,0,7,0,187,0,0,0,12,12,99999,0,0,97,0.463,5.556,0.5,0.5
9,0,8,0,95,0,0,0,240,240,99999,0,0,98,0.409,98.16,0.5,0.5
9,0,9,0,22,0,0,0,72,72,99999,0,0,99,0.125,9.0,0.4,0.4
10,0,0,0,252,0,0,0,36,36,99999,0,0,100,0.394,14.184,0.6,0.6
10,0,1,0,140,0,0,0,10,10,99999,0,0,101,6.27,62.7,0.5,0.5
10,0,2,0,0,0,0,0,36,36,99999,0,0,102,1.602,57.672,0.4,0.4
10,0,3,0,137,0,0,0,30,30,99999,0,0,103,0.454,13.62,0.5,0.5
10,0,4,0,96,0,0,0,96,96,99999,0,0,104,0.668,64.128,0.5,0.5
10,0,5,0,93,0,0,0,30,30,99999,0,0,105,0.281,8.43,0.5,0.5
10,0,6,0,186,0,0,0,70,70,99999,0,0,106,0.181,12.67,0.5,0.5
10,0,7,0,33,0,0,0,240,240,99999,0,0,107,0.409,98.16,0.4,0.4
10,0,8,0,463,0,0,0,204,204,99999,0,0,108,0.092,18.768,0.6,0.6
10,0,9,0,66,0,0,0,72,72,99999,0,0,109,0.233,16.776,0.5,0.5
11,0,0,0,8,0,0,0,40,40,99999,0,0,110,0.381,15.24,0.4,0.4
11,0,1,0,343,0,0,0,192,192,99999,0,0,111,0.365,70.08,0.6,0.6
